timestamp,action,token,amount,price,value_usd,pnl_usd,fees_usd
2025-05-31T20:18:39,sell,C7heQq...,233981.615646,0.050293,11767.59,11767.59,35.3
2025-05-31T23:54:53,sell,C7heQq...,210583.454081,0.050392,10611.79,10611.79,31.84
2025-05-31T23:58:12,sell,C7heQq...,189525.108673,0.049488,9379.2,9379.2,28.14
2025-06-01T14:17:45,buy,DdGQ5o...,2994506.360306,0.000992,2970.0,0.0,8.91
2025-06-01T14:19:01,sell,DdGQ5o...,2994506.360306,0.000721,2159.22,-810.78,6.48
2025-06-01T16:33:21,buy,4BjufD...,13263484.815032,0.000112,1485.0,0.0,4.46
2025-06-01T16:34:44,sell,4BjufD...,6631742.407516,0.000196,1299.35,556.85,3.9
2025-06-01T16:35:26,buy,4BjufD...,5241016.595499,0.000567,2970.0,0.0,8.91
2025-06-01T16:36:43,sell,4BjufD...,11872759.003015,1.8e-05,213.59,-3498.91,0.64
2025-06-01T18:01:56,sell,C7heQq...,170572.597806,0.049862,8505.03,8505.03,25.52
2025-06-01T18:03:09,sell,C7heQq...,153515.338025,0.049115,7539.93,7539.93,22.62
2025-06-01T18:03:40,sell,C7heQq...,138163.804223,0.048765,6737.6,6737.6,20.21
2025-06-01T18:30:07,sell,C7heQq...,124347.423801,0.048815,6070.06,6070.06,18.21
2025-06-02T18:13:02,sell,C7heQq...,111912.68142,0.048673,5447.08,5447.08,16.34
2025-06-03T04:23:54,sell,C7heQq...,251803.533197,0.044327,11161.79,11161.79,33.49
2025-06-03T04:24:15,sell,C7heQq...,188852.649898,0.043944,8298.93,8298.93,24.9
2025-06-03T04:28:01,sell,C7heQq...,566557.949694,0.043265,24511.96,24511.96,73.54
2025-06-06T19:30:11,buy,ANxDvw...,6425224.377343,6.9e-05,445.5,0.0,1.34
2025-06-06T19:30:21,sell,ANxDvw...,6425224.377343,9.1e-05,587.22,141.72,1.76
2025-06-07T17:01:57,buy,AbktLH...,15695471.750847,0.000142,2227.5,0.0,6.68
2025-06-07T17:02:00,buy,AbktLH...,11155964.49371,0.0002,2227.5,0.0,6.68
2025-06-07T18:45:23,sell,AbktLH...,26851436.244557,0.000175,4693.26,238.26,14.08
2025-06-10T23:36:53,buy,USDC,823.35654,0.901796,742.5,0.0,2.23
2025-06-12T13:52:12,sell,KnyizM...,3788119.97745622,8e-06,29.65,29.65,0.09
2025-06-12T13:52:12,sell,CU4X8Z...,12574398.696052,4e-06,49.16,49.16,0.15
2025-06-12T13:52:17,sell,5DkLae...,555.0,0.001309,0.73,0.73,0.0
2025-06-12T17:27:22,buy,USDC,1209.203471,0.982465,1188.0,0.0,3.56
2025-06-16T13:22:25,buy,USDC,1557.501152,0.95345,1485.0,0.0,4.46
2025-06-16T13:24:28,sell,USDC,1190.601178,0.946553,1126.97,23.66,3.38
2025-06-27T19:06:17,buy,USDC,282.031788,1.053073,297.0,0.0,0.89
2025-06-27T19:31:44,sell,USDC,207.715684,1.051084,218.33,14.25,0.65
2025-06-27T23:05:25,buy,USDC,282.999734,1.049471,297.0,0.0,0.89
2025-06-28T11:57:02,sell,USDC,11.493485,1.016009,11.68,0.39,0.04
